Country,State,LGA,District/Ward,Postal Code,Locality,Suburb,Latitude,Longitude
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Abarigwe,,6.491790,8.013100
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Alibaruhu,,6.516670,8.150000
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Anyadulogu,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Edomia,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Egwudilegu,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ekebeligwe,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Enyibichiri,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ezza Ofu,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Idembia,,6.407100,8.041300
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ikelegu,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ishihumini,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ishile,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Izenyi,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Nchokefu,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ndiabo Ofoke,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ndiefi,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ndiogodo Aba,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ndiogodo Idoko,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ndioke,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Obodo,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ochekwu,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Odomoke,,6.488700,8.059700
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Oferekpe,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ogbuyaroku,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ohatekwe,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ojiegbe,,6.623200,8.309270
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Okpoduma,,6.600000,8.083330
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Omorodu,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Onyirigbo,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Oumini,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ugbana,,6.521243,8.109450
Nigeria,Ebonyi,Ebonyi,Ishieke,480108,Ugbovo,,6.521243,8.109450
Nigeria,Cross River,Abi,Ajere,543103,Afoafaha,,5.850634,8.085748
Nigeria,Cross River,Abi,Ajere,543103,Ajere-Beach,,5.850634,8.085748
